timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1567782833627,25,43,9.448242187500001E-6,0,0,44,0,0,0,0,0,0,0,0,Tag0,unknown
1567782834627,25,44,9.66796875E-6,0,0,44,0,0,0,0,0,0,0,0,Tag0,unknown
1567782835634,25,-259,-5.69091796875E-5,0,0,44,25,2,1,0,2,1,1,1,Tag0,unknown
1567782836661,0,-84,-1.8457031250000004E-5,0,0,34,140230,16761671,14041,9625,7316,7404,4304,5120,Tag0,unknown
1567782837682,0,9,1.9775390625E-6,0,0,34,262813,212483,85350,6474,25081,11497,11353,6272,Tag0,unknown
1567782838694,0,50,1.0986328125E-5,47,51,34,143480,5453,1623,4183,1046,1381,447,1618,Tag0,unknown
1567782839716,0,64,1.40625E-5,60,53,36,594197,34192,13557,9422,16878,29895,16758831,6334,Tag0,unknown
1567782840737,0,49,1.07666015625E-5,77,61,36,675095,16762039,12017,30175,15905,28144,24999,6467,Tag0,unknown
1567782841817,0,81,1.77978515625E-5,81,54,36,696465,219803,3947,9112,10784,27868,16764701,8361,Tag0,unknown
1567782842834,0,288,6.328125E-5,69,51,34,712065,273360,55088,27471,10047,19213,28725,7201,Tag0,unknown
1567782843838,0,34,7.4707031250000005E-6,78,61,42,553403,16757488,20557,28368,6489,16748591,17286,11576,Tag0,unknown
1567782844840,0,11,2.4169921875E-6,84,51,42,16758134,30307,2495,5682,21299,24186,16817,4935,Tag0,unknown
1567782845850,0,100,2.197265625E-5,87,63,43,349406,84766,17145,16889,16753344,17502,20652,9808,Tag0,unknown
1567782846856,0,2,4.39453125E-7,100,66,43,25279,10291,11124,2631,4203,4845,3418,699,Tag0,unknown
1567782847874,0,72,1.58203125E-5,96,61,43,141748,68207,22902,30304,16747917,16746610,16748680,9351,Tag0,unknown
1567782848894,0,6,1.318359375E-6,96,74,42,66701,11213,13996,1919,11820,16899,22050,9724,Tag0,unknown
1567782849914,0,35,7.6904296875E-6,100,70,45,271491,16744396,5122,5195,5295,9250,5791,787,Tag0,unknown
1567782850915,0,66,1.4501953125E-5,100,61,45,509508,32947,4746,23358,10818,29947,16744727,8933,Tag0,unknown
1567782851926,0,90,1.9775390625E-5,100,60,45,16760079,16748324,7236,16585,18342,20437,21487,5075,Tag0,unknown
1567782852931,0,259,5.69091796875E-5,100,51,45,11423,8906,7595,762,19574,16745434,11800,8528,Tag0,unknown
1567782853937,0,40,8.7890625E-6,100,54,34,38543,16330,10384,4085,13491,13783,17353,2167,Tag0,unknown
1567782854956,0,39,8.5693359375E-6,100,60,34,33022,13451,3505,8823,2725,12627,2292,580,Tag0,unknown
1567782855964,0,-331,-7.272949218750001E-5,97,54,34,22935,23403,1955,6555,7391,25781,12698,3010,Tag0,unknown
1567782856964,0,-322,-7.0751953125E-5,87,61,34,144382,19478,9412,5126,13149,20241,6161,8353,Tag0,unknown
1567782857965,0,82,1.8017578124999998E-5,80,69,34,90428,11825,14825,4673,937,5623,3377,1070,Tag0,unknown
1567782858985,0,28,6.15234375E-6,87,70,34,28564,5193,13237,12152,10622,16744606,13014,6248,Tag0,unknown
1567782859995,0,-44,-9.66796875E-6,91,69,34,13773,17916,989,7350,11064,16751013,15395,7743,Tag0,unknown
1567782861074,0,67,1.4721679687500002E-5,78,64,42,223734,42474,5813,17696,14454,16842,12426,5416,Tag0,unknown
1567782862103,0,86,1.8896484375000003E-5,81,50,42,99001,148098,10043,23880,22307,16757873,7082,6407,Tag0,unknown
1567782863114,0,72,1.58203125E-5,77,51,42,16182,6822,21747,1913,6400,19684,10119,8625,Tag0,unknown
1567782864139,0,-265,-5.82275390625E-5,66,67,43,30223,13871,16413,21725,4989,21653,19342,8483,Tag0,unknown
1567782865139,0,18,3.955078125E-6,60,75,44,215479,16752130,12025,8428,13826,3271,2805,1849,Tag0,unknown
1567782866143,0,-118,-2.5927734375E-5,54,83,39,112095,16746795,13929,9395,9235,7759,4764,2390,Tag0,unknown
1567782867194,0,58,1.2744140625E-5,35,67,39,62811,16759314,4861,710,6497,3238,3580,1975,Tag0,unknown
1567782868214,0,50,1.0986328125E-5,24,48,39,1806050,187562,21898,5283,10267,16747339,19423,4186,Tag0,unknown
1567782869238,0,40,8.7890625E-6,30,43,39,896983,16754765,4808,4104,2192,6413,2184,3019,Tag0,unknown
1567782870240,0,4,8.7890625E-7,27,43,34,57690,31110,4799,14383,5375,4488,7241,1274,Tag0,unknown
1567782871283,0,40,8.7890625E-6,29,47,39,629711,130568,17160,18366,15903,19781,13061,4354,Tag0,unknown
1567782872307,0,48,1.0546875E-5,23,61,40,54706,27088,15387,4302,988,2476,4407,1857,Tag0,unknown
1567782873315,0,11,2.4169921875E-6,14,57,45,1708162,466505,16755835,12050,15004,24811,28088,9838,Tag0,unknown
1567782874336,0,71,1.56005859375E-5,21,63,45,182635,31255,25752,16745361,21724,16399,10559,14027,Tag0,unknown
1567782875355,0,64,1.40625E-5,41,61,40,19579,25413,472,10744,16744351,28694,9574,4967,Tag0,unknown
1567782876376,0,25,5.4931640625E-6,50,61,40,159726,69306,28518,25349,13239,21288,9359,5019,Tag0,unknown
1567782877410,0,86,1.8896484375000003E-5,67,77,41,16760404,16464,3847,25694,7375,17682,13803,10162,Tag0,unknown
1567782878415,0,58,1.2744140625E-5,74,77,36,13470,2329,4071,3561,3935,3579,3109,1834,Tag0,unknown
1567782879438,0,11,2.4169921875E-6,61,78,36,50261,18906,2796,1476,8758,4421,2571,1498,Tag0,unknown
1567782880457,0,38,8.349609375E-6,70,83,36,6505,3814,167,16754356,12855,23921,10617,3240,Tag0,unknown
1567782881478,0,34,7.4707031250000005E-6,70,81,36,26410,10665,5663,14901,14842,14123,25715,2805,Tag0,unknown
1567782882495,0,59,1.29638671875E-5,75,78,36,8684,14810,8230,13182,4831,16828,13921,5201,Tag0,unknown
1567782883515,0,84,1.8457031250000004E-5,84,81,43,15205,13974,7482,3318,9829,16725,24346,3278,Tag0,unknown
1567782884536,0,-59,-1.29638671875E-5,81,75,36,16766423,28270,7501,31440,23766,32535,18144,5044,Tag0,unknown
1567782885542,0,-293,-6.43798828125E-5,78,70,36,285610,16695,4499,6822,2299,9383,2835,1541,Tag0,unknown
1567782886542,0,24,5.2734375E-6,83,74,36,3028,7430,5968,6683,5341,22618,19729,5465,Tag0,unknown
1567782887544,0,93,2.04345703125E-5,83,78,36,16744419,9022,3195,16089,2346,7688,3705,2883,Tag0,unknown
1567782888555,0,17,3.7353515625000003E-6,75,80,36,62492,14973,9843,1732,3748,4197,4358,1602,Tag0,unknown
1567782889560,0,-71,-1.56005859375E-5,83,70,36,7434,12138,10774,4548,68287,27914,14996,14665,Tag0,unknown
1567782890562,0,39,8.5693359375E-6,60,69,42,246447,16766234,12905,2745,920,5884,3225,388,Tag0,unknown
1567782891576,25,1791,3.935302734375E-4,60,69,39,478885,916335,687597,446072,152530,237631,149725,71012,Tag0,unknown
1567782892595,51,43,9.448242187500001E-6,60,69,39,1213023,16747051,23714,78550,16775242,16745244,17319,8561,Tag0,unknown
