MeanDelta,MedianDelta,SkewnessDelta,KurtosisDelta,StdDeviaDelta,RMSDelta,EnergyDelta,MeanTheta,MedianTheta,SkewnessTheta,KurtosisTheta,StdDeviaTheta,RMSTheta,EnergyTheta,MeanalphaLow,MedianalphaLow,SkewnessalphaLow,KurtosisalphaLow,StdDeviaalphaLow,RMSalphaLow,EnergyalphaLow,MeanalphaHigh,MedianalphaHigh,SkewnessalphaHigh,KurtosisalphaHigh,StdDeviaalphaHigh,RMSalphaHigh,EnergyalphaHigh,MeanbetaLow,MedianbetaLow,SkewnessbetaLow,KurtosisbetaLow,StdDeviabetaLow,RMSbetaLow,EnergybetaLow,MeanbetaHigh,MedianbetaHigh,SkewnessbetaHigh,KurtosisbetaHigh,StdDeviabetaHigh,RMSbetaHigh,EnergybetaHigh,MeangammaLow,MediangammaLow,SkewnessgammaLow,KurtosisgammaLow,StdDeviagammaLow,RMSgammaLow,EnergygammaLow,MeangammaMid,MediangammaMid,SkewnessgammaMid,KurtosisgammaMid,StdDeviagammaMid,RMSgammaMid,EnergygammaMid,Level
867800.4407,471980,6.900104876,50.80997213,2180252.207,2329379.638,1,2705772.22,126485,1.977387859,1.987173556,6018831.272,6552368.091,1,4569626.729,22955,1.05628166,-0.916309145,7497253.216,8725686.368,1,876234.6441,12828,4.195956885,16.15449388,3707795.055,3779221.971,1,2003533.407,11757,2.420546197,3.993489661,5460068.549,5772451.874,1,1435115.068,12142,3.060309261,7.62313235,4700512.159,4876461.979,1,296938.9153,8656,7.679968693,58.98767646,2179469,2181226.244,1,289491.1356,4153,7.681071045,58.99922155,2179685.673,2180437.76,1,1
1850793.661,955759,3.881542195,14.40780673,3566533.667,3991240.86,1,3004172.983,167201,1.803309232,1.30346948,6271249.745,6905580.547,1,2584507.949,13862,1.983303925,2.000646576,6064599.287,6544896.24,1,2582831.441,18185,1.983312021,2.000663796,6066146.482,6545643.912,1,1724036.983,13034,2.704228354,5.499667606,5101064.803,5343419.699,1,1156910.644,12137,3.527086057,10.81024194,4243238.594,4363295.23,1,870234.4068,6484,4.193692097,16.14173485,3712198.806,3782084.274,1,577820.3051,3042,5.285282413,26.84851595,3060695.372,3089167.403,1,1
1134942.797,479148,5.0168869,24.92425081,2999883.17,3183530.068,1,2990260.712,163977,1.801485076,1.29938907,6277578.35,6905194.931,1,3158768.085,13877,1.652215479,0.754801997,6566936.626,7236818.781,1,2868806.932,16576,1.807947185,1.312365699,6330274.619,6900959.146,1,1726608.458,11915,2.704424177,5.500335159,5100007.225,5343257.598,1,2852983.729,15233,1.808124376,1.312697211,6335303.425,6898935.663,1,2284350.237,10981,2.184726558,2.869248494,5780206.467,6169502.272,1,291403.8136,5399,7.681019248,58.9986819,2180037.296,2181038.03,1,1
1170896.458,481808,5.024273808,24.98209265,2993933.569,3191035.985,1,2100540.559,81245,2.41678936,3.982545814,5424578.384,5774043.182,1,3711906.712,18011,1.384818862,-0.086180532,6995135.289,7866435.954,1,2012726.153,18225,2.420424747,3.9931497,5458462.122,5774156.09,1,1435455.712,15008,3.060340558,7.623249809,4701021.499,4877044.873,1,2568180.78,14259,1.983541611,2.0011596,6073173.483,6546284.877,1,2850740.644,13198,1.808128133,1.31270482,6335688.327,6898355.875,1,292725.5085,6579,7.680903825,58.99747647,2179888.992,2181069.3,1,1
927347.5424,426105,6.595898275,47.57736835,2206970.446,2376581.045,1,3835929.017,133225,1.380041195,-0.092308031,6933445.395,7872243.996,1,2583039.814,21507,1.98334342,2.000735078,6067118.872,6546612.02,1,2578454.085,17355,1.983455123,2.000976105,6069532.678,6547003.797,1,2008265.627,16559,2.420489889,3.993328491,5455125.386,5769501.215,1,2003361.576,13064,2.42054742,3.993493843,5458581.56,5771009.564,1,866336.322,9928,4.196356845,16.15667273,3710380.216,3779434.127,1,293125.3898,6583,7.680887213,58.99730329,2181088.932,2182301.945,1,1
1758434.475,120584,2.995826072,7.36619211,4630338.841,4916171.184,1,2031280.831,25134,2.420100365,3.992222553,5453216.178,5775780.635,1,1154895.237,12437,3.528586303,10.81717209,4245505.871,4364929.113,1,1431704.458,6379,3.060316121,7.623167964,4703896.683,4878667.215,1,577971.7797,8200,5.286542926,26.85749015,3058955.335,3087500.992,1,1717931.119,14822,2.704836231,5.501696216,5100227.115,5340666.366,1,1997425.475,13119,2.420613052,3.993675012,5458637.762,5769003.856,1,6986.745763,5468,1.293008675,1.840582281,6109.589208,9247.109509,1,1
3203405,219232,1.782765112,1.263073602,6197045.833,6929233.432,1,5457921.695,68762,0.780643751,-1.439015649,7857055.456,9511882.159,1,1434574.153,9539,3.060202975,7.622723147,4702936.253,4878599.97,1,1430245.169,9729,3.060378472,7.623394029,4702628.358,4877036.915,1,580890.7288,7422,5.285992632,26.85364411,3057050.397,3086193.755,1,1152914.22,13676,3.528554102,10.81702021,4243619.374,4362601.412,1,578128.5593,7222,5.286535213,26.85743668,3059607.653,3088165.674,1,289161,4873,7.681095791,58.99947948,2181289.321,2181969.919,1,1
2478076.136,83934,2.169516851,2.829877517,5715921.528,6185374.816,1,4047069.119,34686,1.265529748,-0.410503247,7150036.368,8163044.57,1,1435774.153,8627,3.060180221,7.622641759,4703956.541,4879919.789,1,1436648.441,9325,3.059761142,7.62101049,4700724.244,4877114.412,1,890763.9492,11540,4.174448189,16.02813983,3709626.887,3784382.267,1,1465635.678,11887,3.04565215,7.562078714,4699499.693,4884573.495,1,312298.2881,9475,7.63236009,58.47010224,2182309.969,2186158.063,1,297020.3051,4177,7.673576646,58.9198471,2179052.479,2180828.196,1,1
2177326.462,134038,2.535628303,4.842407862,5380205.611,5707366.441,1,696225.4231,32596,5.096678375,25.98341981,3274299.329,3285333.833,1,1297775.962,7506,3.373187065,10.15600636,4547904.731,4644582.119,1,1299737.269,10865,3.37317875,10.15596912,4551119.902,4648157.411,1,7314.423077,6046,1.114788504,1.348364487,6040.156522,9411.751409,1,1298072.846,9612.5,3.373226434,10.15618102,4549486.213,4646154.08,1,653420.9615,10353,5.098995024,25.99982709,3283162.36,3285046.598,1,5872.384615,2710,1.006216192,-0.620594061,6129.483613,8403.002353,1,1
2580702.508,159974,2.151891855,2.782686051,5687327.795,6201410.382,1,4054110.983,40835,1.265737255,-0.410219687,7149938.661,8166453.975,1,1450439.424,14799,3.058694491,7.6168602,4697939.775,4878558.603,1,1434990.254,10008,3.060267898,7.622980711,4702718.95,4878516.42,1,1147033.034,10943,3.528748319,10.81789648,4245476.921,4362827.785,1,1998383.593,15049,2.420612934,3.993675761,5458210.08,5768937.869,1,295707.3051,7976,7.680705729,58.99541006,2178433.934,2180042.144,1,289609.6949,4630,7.681087234,58.99939034,2181960.259,2182688.771,1,1
