timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1567791166019,25,43,9.448242187500001E-6,0,0,42,3,1,0,2,0,0,1,1,Tag0,unknown
1567791167041,25,43,9.448242187500001E-6,0,0,42,29,1,1,0,1,1,1,0,Tag0,unknown
1567791168060,25,-554,-1.2172851562500001E-4,0,0,39,615036,167440,20639,5056,16745868,19343,14873,17508,Tag0,unknown
1567791169060,0,59,1.29638671875E-5,0,0,39,690303,75553,3975,3649,7820,6151,5049,4194,Tag0,unknown
1567791170068,0,-278,-6.108398437500001E-5,0,0,40,102352,26631,1891,8745,28520,17297,26560,11729,Tag0,unknown
1567791171073,0,27,5.9326171875000005E-6,0,0,40,147807,16760714,25969,13605,10299,31289,16761314,6011,Tag0,unknown
1567791172080,0,43,9.448242187500001E-6,53,53,40,194375,16533,19186,19995,25372,16763893,29615,7379,Tag0,unknown
1567791173084,0,57,1.2524414062500001E-5,53,77,38,245479,10298,14476,2267,3992,5650,13177,732,Tag0,unknown
1567791174093,0,121,2.6586914062500003E-5,44,78,38,54854,16761486,1805,10848,8624,4706,8064,2080,Tag0,unknown
1567791175099,0,-360,-7.91015625E-5,63,81,38,10340,15336,8880,10145,18484,16762017,19486,11559,Tag0,unknown
1567791176101,0,27,5.9326171875000005E-6,44,69,45,59081,72329,10869,6282,3792,9872,10456,1765,Tag0,unknown
1567791177120,0,3,6.591796875E-7,57,51,45,16749348,17526,6771,9823,16021,16744471,29072,10125,Tag0,unknown
1567791178122,0,65,1.42822265625E-5,53,53,41,727479,304623,16773518,28541,15154,20214,16756451,16198,Tag0,unknown
1567791179127,0,72,1.58203125E-5,34,48,41,2106977,353555,69212,3586,16746239,16773206,37801,19607,Tag0,unknown
1567791180140,0,26,5.712890625E-6,29,50,36,1907812,546553,16748650,38329,24850,16758860,93064,16757061,Tag0,unknown
1567791181144,0,32,7.03125E-6,14,54,36,471752,76025,29644,8807,4555,20791,16757778,17334,Tag0,unknown
1567791182160,0,-329,-7.229003906250001E-5,26,50,48,882508,251805,32597,21008,13719,16771681,16762800,16760465,Tag0,unknown
1567791183180,0,109,2.39501953125E-5,27,64,38,23814,25215,8542,12431,12258,8617,28436,4076,Tag0,unknown
1567791184200,0,-124,-2.724609375E-5,21,44,44,784048,1101715,20639,16763497,11917,16746622,16751789,16771145,Tag0,unknown
1567791185220,0,69,1.51611328125E-5,17,41,44,821984,220347,16747895,16766169,16744820,16754480,25188,7493,Tag0,unknown
1567791186246,0,-327,-7.18505859375E-5,27,24,44,81200,21575,415,613,6204,10160,13043,2953,Tag0,unknown
1567791187260,0,91,1.99951171875E-5,14,13,59,2424618,338519,5916,16770860,16751939,17919,16751987,9770,Tag0,unknown
1567791188280,0,76,1.669921875E-5,37,38,59,305207,16124,4251,4576,4702,9725,7169,3013,Tag0,unknown
1567791189280,0,21,4.614257812500001E-6,40,47,59,1510947,50874,77394,19442,26920,16753566,76801,18969,Tag0,unknown
1567791190287,0,114,2.5048828125000003E-5,38,61,36,883881,161004,18677,13445,16751235,66048,16753230,16764680,Tag0,unknown
1567791191294,0,-281,-6.17431640625E-5,40,61,36,241273,55152,20542,1474,3136,6907,10568,1777,Tag0,unknown
1567791192301,0,-8,-1.7578125E-6,26,60,36,830220,289724,16765026,32313,19152,29883,16772135,12394,Tag0,unknown
1567791193320,0,55,1.20849609375E-5,23,47,57,1139252,322747,19941,16773668,31140,16774534,16751637,25417,Tag0,unknown
1567791194340,0,93,2.04345703125E-5,17,61,38,421154,190306,35847,16750667,27215,85447,16755671,16750451,Tag0,unknown
1567791195360,0,13,2.8564453125E-6,40,67,46,800033,17066,4859,6639,6384,17037,16325,4373,Tag0,unknown
1567791196387,0,101,2.2192382812500002E-5,54,61,46,16751127,24513,4496,1629,5569,16178,5573,3057,Tag0,unknown
1567791197400,0,37,8.1298828125E-6,40,61,44,1341840,705662,91280,16776656,16755817,21825,16759712,16755263,Tag0,unknown
1567791198420,0,9,1.9775390625E-6,47,48,44,253908,77044,5052,14632,22221,16752927,30722,5290,Tag0,unknown
1567791199420,0,58,1.2744140625E-5,29,57,44,1311471,16772515,21116,25854,7921,9233,32233,8480,Tag0,unknown
1567791200420,0,0,0.0,24,63,44,803995,62721,16261,20044,18188,16754704,28695,9071,Tag0,unknown
1567791201420,0,-313,-6.87744140625E-5,34,50,44,659952,173799,10668,8441,12766,16397,10243,3291,Tag0,unknown
1567791202420,0,12,2.63671875E-6,13,41,44,2748944,999125,15842,16773458,14713,16756868,16760034,16747647,Tag0,unknown
1567791203421,0,42,9.228515625000002E-6,8,21,44,267779,106731,10199,12464,10568,8435,12526,5801,Tag0,unknown
1567791204421,0,-317,-6.96533203125E-5,1,35,44,2812158,157571,67237,16746462,13821,21547,24402,30176,Tag0,unknown
1567791205450,0,5,1.0986328125E-6,1,47,44,1239649,147216,12384,16808,8500,13901,12515,10798,Tag0,unknown
1567791206461,0,116,2.548828125E-5,8,56,40,1387550,395298,16749521,24182,5975,16762381,16751283,16751454,Tag0,unknown
1567791207486,0,-124,-2.724609375E-5,8,69,40,723306,452923,151394,16765022,10129,16747883,16767253,32598,Tag0,unknown
1567791208500,0,71,1.56005859375E-5,1,35,40,2289216,984548,29404,14513,16756443,28567,33891,28222,Tag0,unknown
1567791209521,0,112,2.4609375E-5,1,43,39,1649390,300300,49351,26875,16751642,16754074,38789,20602,Tag0,unknown
1567791210546,0,-129,-2.8344726562500002E-5,1,37,40,2675736,742621,29945,16750069,30813,22369,16777075,16751600,Tag0,unknown
1567791211560,0,-109,-2.39501953125E-5,1,34,37,1227509,162898,16747995,19141,7750,16795,19540,8390,Tag0,unknown
1567791212560,0,-96,-2.109375E-5,4,70,37,350550,16757285,16752980,12925,5591,15147,18471,24865,Tag0,unknown
1567791213567,0,7,1.5380859375E-6,14,77,44,543446,16760902,17430,18539,6136,23907,16745841,4650,Tag0,unknown
1567791214573,0,57,1.2524414062500001E-5,34,77,44,91564,16760706,3982,1973,12779,10945,16757038,4459,Tag0,unknown
1567791215580,0,0,0.0,30,78,36,37453,27288,9214,2189,1672,2930,4057,3311,Tag0,unknown
1567791216600,0,124,2.724609375E-5,21,63,38,859599,477843,36736,14887,6863,25554,16767203,16765224,Tag0,unknown
1567791217620,0,118,2.5927734375E-5,20,50,43,1044460,16758170,6508,3238,4658,13489,13617,11157,Tag0,unknown
1567791218640,0,-338,-7.426757812499999E-5,11,54,43,353511,504153,16762257,16745980,29154,16751034,34383,16773541,Tag0,unknown
1567791219660,0,-264,-5.80078125E-5,14,56,39,1528945,213179,36709,11936,16754499,16749054,16760665,31177,Tag0,unknown
1567791220660,0,-342,-7.5146484375E-5,21,66,39,1056071,194433,152207,10204,11043,16749929,16763911,19889,Tag0,unknown
1567791221660,0,264,5.80078125E-5,20,83,43,771928,58891,26469,16775321,4293,16756592,16749984,14454,Tag0,unknown
1567791222663,0,28,6.15234375E-6,26,96,41,362475,16773791,12520,17994,4066,12959,16539,11214,Tag0,unknown
1567791223680,0,17,3.7353515625000003E-6,16,74,44,759374,984641,19099,16761354,22103,16756968,16759260,16745000,Tag0,unknown
1567791224680,0,70,1.5380859375E-5,21,77,44,130509,30742,26680,2369,8567,8880,4849,2936,Tag0,unknown
