timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1.57E+12,0,33,7.25E-06,56,43,55,6628,16950,729,9469,10596,10165,22831,4987,Tag0,unknown
1.57E+12,0,29,6.37E-06,40,43,56,166520,138300,16751122,28382,16745106,13189,16744882,12116,Tag0,unknown
1.57E+12,0,37,8.13E-06,40,51,42,318496,30859,13430,1785,6179,4981,1404,768,Tag0,unknown
1.57E+12,0,-265,-5.82E-05,48,41,47,100167,15255,1437,1415,6669,3329,5192,2095,Tag0,unknown
1.57E+12,0,-734,-1.61E-04,30,43,42,85021,16766220,18407,7728,8836,5932,6372,1635,Tag0,unknown
1.57E+12,0,-51,-1.12E-05,43,53,44,503433,94536,16773026,71759,17170,16755070,20935,3012,Tag0,unknown
1.57E+12,0,115,2.53E-05,37,54,61,472035,73209,29761,7279,8544,6119,7917,2758,Tag0,unknown
1.57E+12,0,-274,-6.02E-05,23,54,46,130269,66134,3519,7281,4819,3418,4143,1273,Tag0,unknown
1.57E+12,0,23,5.05E-06,8,44,46,57242,93516,4053,8056,8231,1251,1689,821,Tag0,unknown
1.57E+12,0,-599,-1.32E-04,1,30,58,1060572,262350,25388,16768643,16092,28541,22045,7603,Tag0,unknown
1.57E+12,0,109,2.40E-05,11,34,49,211602,61293,77179,16744851,16745474,28246,16324,5314,Tag0,unknown
1.57E+12,0,73,1.60E-05,14,44,37,746674,273773,85157,16754682,15531,19153,22899,5664,Tag0,unknown
1.57E+12,0,40,8.79E-06,29,66,55,1006438,26136,24416,8715,10051,4383,4869,3497,Tag0,unknown
1.57E+12,0,71,1.56E-05,30,74,46,1261592,72455,11781,16748227,14481,11178,5003,1882,Tag0,unknown
1.57E+12,0,-152,-3.34E-05,41,70,40,142375,11527,11904,6620,14573,8081,2359,1607,Tag0,unknown
1.57E+12,0,65,1.43E-05,48,77,45,50606,16765450,11325,16746051,14330,10169,10266,2212,Tag0,unknown
1.57E+12,0,21,4.61E-06,51,78,45,9322,21167,18392,15001,3621,6003,7917,5878,Tag0,unknown
1.57E+12,0,20,4.39E-06,61,74,45,5472,16754661,15673,5851,7946,17386,6376,8011,Tag0,unknown
1.57E+12,0,-79,-1.74E-05,51,75,43,16750613,5148,2574,1415,247,666,481,16777200,Tag0,unknown
1.57E+12,0,100,2.20E-05,50,84,41,525236,16761605,16774794,16760077,21866,15041,6371,9903,Tag0,unknown
1.57E+12,0,107,2.35E-05,53,69,42,15523,16770913,12313,11189,8442,12306,10957,7466,Tag0,unknown
1.57E+12,0,41,9.01E-06,48,77,42,76199,12054,7304,1856,2016,3253,2903,720,Tag0,unknown
1.57E+12,0,-267,-5.87E-05,61,75,39,23891,17376,8028,26268,25124,16862,14737,8199,Tag0,unknown
1.57E+12,0,48,1.05E-05,60,74,39,16774426,16744695,16748394,25560,18012,7895,11130,3758,Tag0,unknown
1.57E+12,0,21,4.61E-06,54,67,39,78252,22279,2952,2970,3491,2448,3314,2760,Tag0,unknown
1.57E+12,0,17,3.74E-06,56,66,39,356531,16774470,22960,14071,11898,18032,16753207,24999,Tag0,unknown
1.57E+12,0,103,2.26E-05,50,60,39,316562,160584,16772000,23494,26003,16755753,14168,9480,Tag0,unknown
1.57E+12,0,58,1.27E-05,41,56,39,444114,90790,16755485,16748903,9288,6793,6282,1251,Tag0,unknown
1.57E+12,0,23,5.05E-06,47,69,39,235851,85852,16758548,16747652,5694,25930,16764407,24040,Tag0,unknown
1.57E+12,0,65,1.43E-05,53,69,39,17989,25908,4977,17338,15392,14280,8262,2893,Tag0,unknown
1.57E+12,0,91,2.00E-05,56,80,45,18950,14636,8706,27026,5156,13040,10043,6324,Tag0,unknown
1.57E+12,0,59,1.30E-05,64,87,45,318495,16745646,16752092,16754249,24199,12855,10723,5356,Tag0,unknown
1.57E+12,0,26,5.71E-06,64,77,45,82136,74747,21114,13315,30314,14792,13076,9775,Tag0,unknown
1.57E+12,0,42,9.23E-06,67,75,45,283928,9885,5141,4966,8281,9623,1901,1079,Tag0,unknown
1.57E+12,0,41,9.01E-06,57,81,44,28769,20391,16753083,16748950,16813,7747,9114,14445,Tag0,unknown
1.57E+12,0,106,2.33E-05,56,67,44,89537,21119,7376,3906,7244,3185,7837,3075,Tag0,unknown
1.57E+12,0,22,4.83E-06,74,70,40,96378,28411,16746151,10568,23686,16768633,22119,17846,Tag0,unknown
1.57E+12,0,80,1.76E-05,51,66,36,937338,63008,16587,13926,10230,7631,7130,10806,Tag0,unknown
1.57E+12,0,105,2.31E-05,44,38,36,605157,148081,10927,12917,13575,6957,12064,7499,Tag0,unknown
1.57E+12,0,-107,-2.35E-05,41,41,37,437081,16767803,13473,15155,2914,5605,20453,8794,Tag0,unknown
1.57E+12,0,104,2.29E-05,16,34,37,1247393,47170,10440,17160,16085,7572,13448,14587,Tag0,unknown
1.57E+12,0,-291,-6.39E-05,20,30,42,679084,310264,20624,16774998,14784,16747806,26671,16745030,Tag0,unknown
1.57E+12,0,44,9.67E-06,37,29,42,647683,146949,12816,13627,16745382,16746724,16746872,20033,Tag0,unknown
1.57E+12,0,306,6.72E-05,57,29,44,586187,79654,7928,3397,3200,11593,10303,4080,Tag0,unknown
1.57E+12,0,59,1.30E-05,56,40,39,180113,70643,29992,14634,12601,7521,20747,2525,Tag0,unknown
1.57E+12,0,67,1.47E-05,54,50,39,65106,22471,2692,7426,4740,6609,14806,2793,Tag0,unknown
1.57E+12,0,115,2.53E-05,54,35,41,184988,66588,3087,18185,22945,24691,16776,7466,Tag0,unknown
1.57E+12,0,69,1.52E-05,51,51,70,49858,70731,16745901,7347,1299,8380,8303,1561,Tag0,unknown
1.57E+12,0,-281,-6.17E-05,54,51,70,210361,33923,16765121,12965,16744512,15365,16753579,10131,Tag0,unknown
1.57E+12,0,71,1.56E-05,53,57,70,168760,11049,1899,7298,4155,3142,6235,1346,Tag0,unknown
1.57E+12,0,72,1.58E-05,38,64,51,256037,267371,78189,16744674,28459,22998,19040,4863,Tag0,unknown
1.57E+12,0,-270,-5.93E-05,47,64,47,100319,10324,5902,6072,3839,4734,10498,1133,Tag0,unknown
1.57E+12,0,58,1.27E-05,54,64,46,121851,16755458,16751628,6888,16752608,18858,69874,12589,Tag0,unknown
1.57E+12,0,120,2.64E-05,61,61,45,46674,16749516,11309,19854,27009,20505,14226,9329,Tag0,unknown
1.57E+12,0,-331,-7.27E-05,63,57,52,71552,15269,2545,1373,1111,1174,1489,129,Tag0,unknown
1.57E+12,0,-16,-3.52E-06,50,41,66,242914,16746418,2414,3429,3929,2174,479,550,Tag0,unknown
1.57E+12,0,210,4.61E-05,41,37,66,153910,31405,6037,4193,2707,3617,2867,1171,Tag0,unknown
1.57E+12,0,108,2.37E-05,21,27,66,16750643,16774718,3561,9754,1858,2684,2237,2700,Tag0,unknown
1.57E+12,0,73,1.60E-05,43,34,66,6580,9616,12719,4481,19372,19657,22500,5295,Tag0,unknown
timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1.56778E+12,25,43,9.45E-06,0,0,44,27,1,0,0,0,0,0,0,Tag0,unknown
1.56778E+12,25,37,8.13E-06,0,0,44,27,1,0,0,0,0,0,0,Tag0,unknown
1.56778E+12,0,26,5.71E-06,0,0,95,66472,13593,14377,3143,2320,2437,1389,1539,Tag0,unknown
1.56778E+12,0,107,2.35E-05,0,0,45,25085,19882,9322,13671,4346,4802,4117,2543,Tag0,unknown
1.56778E+12,0,-274,-6.02E-05,0,0,47,284607,13804,4737,5248,5886,3445,3249,1254,Tag0,unknown
1.56778E+12,0,-120,-2.64E-05,51,30,46,141143,8577,3095,3712,2582,4239,2026,926,Tag0,unknown
1.56778E+12,0,91,2.00E-05,51,54,35,363129,8920,16685,8197,1861,4193,12242,2710,Tag0,unknown
1.56778E+12,0,107,2.35E-05,64,38,35,16747782,21952,6226,6806,5259,9383,6867,7337,Tag0,unknown
1.56778E+12,0,42,9.23E-06,75,20,35,19063,26371,5635,5160,6003,9970,23255,2947,Tag0,unknown
1.56778E+12,0,67,1.47E-05,63,10,40,69830,28338,266,4222,4528,4990,4637,1987,Tag0,unknown
1.56778E+12,0,33,7.25E-06,69,1,41,40377,114636,67859,16749145,21456,16762239,16752519,4371,Tag0,unknown
1.56778E+12,0,86,1.89E-05,57,17,41,814301,14721,9280,7208,1386,4113,2067,2125,Tag0,unknown
1.56778E+12,0,121,2.66E-05,41,30,40,267452,70592,14578,4849,1582,8092,7568,3504,Tag0,unknown
1.56778E+12,0,12,2.64E-06,63,30,40,27867,14375,1728,1658,6441,10637,9041,4376,Tag0,unknown
1.56778E+12,0,49,1.08E-05,48,11,38,787668,416589,22684,22165,14663,16745300,30763,13711,Tag0,unknown
1.56778E+12,0,-183,-4.02E-05,56,1,38,16761294,26518,3640,678,5139,7788,7234,5571,Tag0,unknown
1.56778E+12,0,37,8.13E-06,61,1,38,1172494,94777,73405,20167,16746662,24616,16757671,20896,Tag0,unknown
1.56778E+12,0,103,2.26E-05,38,8,38,277004,223145,21523,16753547,19545,16753037,69995,13715,Tag0,unknown
1.56778E+12,0,25,5.49E-06,66,23,38,65530,12601,138,7026,7610,8051,6604,1726,Tag0,unknown
1.56778E+12,0,-286,-6.28E-05,38,27,47,48266,133101,21088,1246,7195,4103,9003,9101,Tag0,unknown
1.56778E+12,0,-295,-6.48E-05,24,14,47,680050,43566,22955,5069,3208,5327,11831,4629,Tag0,unknown
1.56778E+12,0,92,2.02E-05,24,20,47,170613,32532,6147,6786,1604,5179,9164,2032,Tag0,unknown
1.56778E+12,0,-328,-7.21E-05,24,23,47,16745172,8487,3901,3286,7615,5590,16744425,2030,Tag0,unknown
1.56778E+12,0,-282,-6.20E-05,37,16,39,212766,461081,23324,8532,7788,16745017,74988,13165,Tag0,unknown
1.56778E+12,0,-301,-6.61E-05,37,13,40,16758079,32428,2372,2885,1819,1193,2102,2664,Tag0,unknown
1.56778E+12,0,13,2.86E-06,23,8,46,890134,364390,16756473,31424,15780,23600,16756418,15802,Tag0,unknown
1.56778E+12,0,-259,-5.69E-05,23,21,37,197036,27928,23801,16755338,20220,16744408,16753068,16748604,Tag0,unknown
1.56778E+12,0,-275,-6.04E-05,26,43,37,408076,178738,79793,29672,16749332,27591,28699,28527,Tag0,unknown
1.56778E+12,0,23,5.05E-06,50,53,49,818862,82471,2894,31950,6589,24050,16747574,10788,Tag0,unknown
1.56778E+12,0,-261,-5.73E-05,66,77,49,1223632,16758483,16746448,16753720,16302,19551,32480,21279,Tag0,unknown
1.56778E+12,0,53,1.16E-05,70,66,49,8614,2620,2132,3948,4016,6758,21898,2011,Tag0,unknown
1.56778E+12,0,88,1.93E-05,93,56,49,3534,16747803,3593,9669,11452,26268,29573,4691,Tag0,unknown
