timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1.56663E+12,25,9,1.98E-06,0,0,94,659919,16763333,20383,15745,25959,5156,2556,6478,Tag0,unknown
1.56663E+12,0,38,8.35E-06,0,0,54,100160,82804,24353,16747302,13605,12069,5624,3581,Tag0,unknown
1.56663E+12,0,65,1.43E-05,0,0,59,39563,28523,4222,2037,8256,2455,7251,184,Tag0,unknown
1.56663E+12,0,58,1.27E-05,0,0,39,305676,259470,84925,16212,12545,6074,7954,1309,Tag0,unknown
1.56663E+12,0,86,1.89E-05,53,53,41,48752,16746800,3793,16760181,10622,21889,5727,4679,Tag0,unknown
1.56663E+12,0,34,7.47E-06,47,69,41,785870,106990,16765056,58501,18629,6281,6446,3557,Tag0,unknown
1.56663E+12,0,10,2.20E-06,56,70,41,147570,13569,2885,2866,3055,3032,1258,482,Tag0,unknown
1.56663E+12,0,289,6.35E-05,54,90,41,188415,77272,25879,16773628,6631,5636,4014,4785,Tag0,unknown
1.56663E+12,51,-54,-1.19E-05,50,87,41,857065,16767786,14524,20352,5599,5525,3813,3436,Tag0,unknown
1.56663E+12,0,67,1.47E-05,54,93,41,364300,65651,16765430,77887,11354,7054,5021,3566,Tag0,unknown
1.56663E+12,0,-269,-5.91E-05,43,100,41,802818,134992,68447,5954,21780,6366,8004,4881,Tag0,unknown
1.56663E+12,0,-259,-5.69E-05,47,90,41,113747,26680,2983,18989,4323,1993,1335,1140,Tag0,unknown
1.56663E+12,0,-61,-1.34E-05,40,88,127,1141665,318060,137907,57390,26392,16749787,14202,6783,Tag0,unknown
1.56663E+12,0,-289,-6.35E-05,43,80,36,225883,49494,16769601,16774375,6979,14887,9023,4292,Tag0,unknown
1.56663E+12,0,-258,-5.67E-05,53,81,36,860251,91165,31632,31744,10663,15898,12822,7203,Tag0,unknown
1.56663E+12,0,19,4.17E-06,48,94,36,75639,11572,6683,16769443,4507,1903,1036,591,Tag0,unknown
1.56663E+12,0,64,1.41E-05,48,100,36,16746394,16754944,24353,89559,5477,9335,6464,6474,Tag0,unknown
1.56663E+12,0,100,2.20E-05,47,94,36,196894,69730,16746479,16768400,20268,9055,3808,5097,Tag0,unknown
1.56663E+12,0,-120,-2.64E-05,37,100,36,16763174,16752663,31951,202450,16754317,7277,2689,1517,Tag0,unknown
1.56663E+12,0,66,1.45E-05,38,100,36,25141,25802,21508,180591,18586,8781,1626,1816,Tag0,unknown
1.56663E+12,0,33,7.25E-06,38,100,36,13673,22258,8027,16772036,6776,5428,4029,2093,Tag0,unknown
1.56663E+12,0,3,6.59E-07,50,96,36,16759036,16093,17918,5013,15561,9358,8468,1343,Tag0,unknown
1.56663E+12,0,37,8.13E-06,51,77,36,152118,80306,30934,21008,10860,4142,4448,3617,Tag0,unknown
1.56663E+12,0,71,1.56E-05,64,44,36,161862,16759633,11754,2638,6444,12289,3877,1840,Tag0,unknown
1.56663E+12,0,54,1.19E-05,80,30,36,20502,7630,15141,5267,18700,14120,5536,1869,Tag0,unknown
1.56663E+12,0,11,2.42E-06,83,35,36,4818,4133,5751,9173,8448,6754,4704,3101,Tag0,unknown
1.56663E+12,0,19,4.17E-06,97,34,36,16774845,27420,11050,8655,4809,11988,10140,4878,Tag0,unknown
1.56663E+12,0,28,6.15E-06,100,44,36,9376,4815,5153,14724,12492,11220,7665,3903,Tag0,unknown
1.56663E+12,0,97,2.13E-05,93,38,36,441421,92504,30598,8232,23968,15881,6609,4181,Tag0,unknown
1.56663E+12,0,28,6.15E-06,84,26,36,171376,38138,25501,7634,16749680,16042,9519,5568,Tag0,unknown
1.56663E+12,0,-13,-2.86E-06,81,34,39,936448,37525,48126,26096,22116,31323,18714,14075,Tag0,unknown
1.56663E+12,0,61,1.34E-05,66,16,39,2784809,958354,16761712,95818,22694,84063,21807,21943,Tag0,unknown
1.56663E+12,0,-45,-9.89E-06,66,16,43,2784809,958354,16761712,95818,22694,84063,21807,21943,Tag0,unknown
1.56663E+12,0,38,8.35E-06,64,34,42,1150491,16746731,16746628,16051,22040,13727,8223,1504,Tag0,unknown
1.56663E+12,0,-145,-3.19E-05,63,14,41,41839,117833,10894,22262,16748003,24514,5596,9489,Tag0,unknown
1.56663E+12,0,-365,-8.02E-05,69,27,39,358545,94244,16746933,29220,25985,24284,29288,7802,Tag0,unknown
1.56663E+12,0,5,1.10E-06,74,24,37,355556,97551,16748379,6218,11641,14446,5214,2463,Tag0,unknown
1.56663E+12,0,73,1.60E-05,67,27,37,1107333,16756122,16761779,19777,10979,11116,13338,1812,Tag0,unknown
1.56663E+12,0,-276,-6.06E-05,60,35,37,624700,159189,20776,16748435,13529,7749,4154,2348,Tag0,unknown
1.56663E+12,0,60,1.32E-05,63,24,37,229291,163763,24174,25246,20452,73196,19762,9456,Tag0,unknown
1.56663E+12,0,96,2.11E-05,78,20,37,16754187,16749395,11242,7481,26780,16749031,13095,5745,Tag0,unknown
1.56663E+12,0,56,1.23E-05,87,11,37,20752,16752567,18534,17379,25023,17454,12995,6482,Tag0,unknown
1.56663E+12,0,81,1.78E-05,94,13,37,210909,56408,8676,16765473,13744,22148,17050,4638,Tag0,unknown
1.56663E+12,0,59,1.30E-05,97,24,37,51468,23420,11387,28393,21166,28658,24476,10652,Tag0,unknown
1.56663E+12,0,33,7.25E-06,84,34,37,177891,61726,28421,16760797,13813,23072,16562,5357,Tag0,unknown
1.56663E+12,0,75,1.65E-05,91,40,37,3642,11200,17935,10636,3764,22353,17017,7262,Tag0,unknown
1.56663E+12,0,1,2.20E-07,97,38,37,12051,19224,6045,16486,28993,11832,21916,3438,Tag0,unknown
1.56663E+12,0,13,2.86E-06,96,44,37,8460,13846,16752799,11355,12219,26812,20595,7958,Tag0,unknown
1.56663E+12,0,-167,-3.67E-05,100,48,37,25568,10578,24292,14752,26600,26892,15761,6058,Tag0,unknown
1.56663E+12,0,272,5.98E-05,100,30,54,531005,67473,7597,5534,11796,16420,5754,8037,Tag0,unknown
1.56663E+12,0,100,2.20E-05,88,21,54,223489,110276,26725,4286,12464,7969,7108,4563,Tag0,unknown
1.56663E+12,0,58,1.27E-05,87,1,47,473455,171458,6263,9353,16750571,90842,67160,12725,Tag0,unknown
1.56663E+12,0,-291,-6.39E-05,91,1,47,801569,16747238,5460,3721,16760020,16774998,28129,8219,Tag0,unknown
1.56663E+12,0,-71,-1.56E-05,90,1,47,36926,16758165,25010,28396,16746057,26348,18158,7672,Tag0,unknown
1.56663E+12,0,100,2.20E-05,100,11,47,40781,131939,79479,30685,16756870,16772853,16764082,17342,Tag0,unknown
1.56663E+12,0,51,1.12E-05,97,26,47,93233,13560,3638,2205,921,5293,7290,2605,Tag0,unknown
1.56663E+12,0,38,8.35E-06,88,48,47,16749919,31746,6065,16744469,3293,22362,20250,11196,Tag0,unknown
1.56663E+12,0,24,5.27E-06,90,54,47,15024,9594,31543,20195,10467,25004,17585,8931,Tag0,unknown
1.56663E+12,0,-289,-6.35E-05,93,60,47,5003,12500,20121,16163,14948,18152,22668,6642,Tag0,unknown
timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1.56759E+12,25,-283,-6.22E-05,0,0,55,46,3,0,0,1,0,0,0,Tag0,unknown
1.56759E+12,25,38,8.35E-06,0,0,55,394142,27036,28829,6816,17046,10028,7476,5590,Tag0,unknown
1.56759E+12,0,66,1.45E-05,0,0,55,407517,16759418,222707,16753896,16751443,16748444,16754747,3933,Tag0,unknown
1.56759E+12,0,-337,-7.40E-05,0,0,40,241412,31434,3241,17392,20311,3540,5415,3314,Tag0,unknown
1.56759E+12,0,60,1.32E-05,0,0,40,407610,16764461,21539,16745585,71084,22485,16763446,22081,Tag0,unknown
1.56759E+12,0,49,1.08E-05,30,35,40,968469,78344,19413,16761141,16749393,12021,16295,4270,Tag0,unknown
1.56759E+12,0,45,9.89E-06,34,29,40,1812124,134118,14382,68082,25499,28271,11747,2660,Tag0,unknown
1.56759E+12,0,17,3.74E-06,50,23,40,183517,90829,66736,11178,16751138,16755082,22588,7070,Tag0,unknown
1.56759E+12,0,85,1.87E-05,61,4,40,293803,16753117,3579,4610,7098,9737,3128,2368,Tag0,unknown
1.56759E+12,0,74,1.63E-05,80,4,40,132654,28711,5191,11951,2236,8540,2424,784,Tag0,unknown
1.56759E+12,0,44,9.67E-06,66,11,40,288584,147660,11704,56454,25585,19869,23159,8680,Tag0,unknown
1.56759E+12,0,81,1.78E-05,37,26,40,73054,16763466,85320,16745144,18037,8143,11655,7513,Tag0,unknown
1.56759E+12,0,45,9.89E-06,29,47,40,86799,16775327,25441,16766397,21271,18332,2375,3992,Tag0,unknown
1.56759E+12,0,-283,-6.22E-05,11,57,40,30629,10683,4053,19695,4099,2841,2004,439,Tag0,unknown
1.56759E+12,0,74,1.63E-05,3,67,40,141579,14336,16369,27953,9003,2526,2682,1659,Tag0,unknown
1.56759E+12,0,105,2.31E-05,8,54,40,39410,106449,31166,69432,17792,18400,4649,2131,Tag0,unknown
1.56759E+12,0,52,1.14E-05,20,47,40,16767181,30678,14312,15506,16744924,13736,11516,1999,Tag0,unknown
1.56759E+12,0,-269,-5.91E-05,13,48,40,16753543,29002,16747056,81884,16758646,8859,2543,3634,Tag0,unknown
1.56759E+12,0,21,4.61E-06,27,48,40,15758,11619,14925,83093,16746927,9638,5471,11016,Tag0,unknown
