timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1.56667E+12,0,-122,-2.68E-05,57,38,0,11571,15405,11656,8476,16611,8343,24760,9544,Tag0,unknown
1.56667E+12,0,9,1.98E-06,81,35,0,16772966,16750924,3275,22420,24634,29012,14554,6845,Tag0,unknown
1.56667E+12,0,-333,-7.32E-05,100,37,0,16757827,23629,7870,15469,22381,14748,5864,1557,Tag0,unknown
1.56667E+12,0,276,6.06E-05,100,35,0,449035,16749815,8305,8415,26449,20241,11823,8402,Tag0,unknown
1.56667E+12,0,38,8.35E-06,100,16,0,1037028,16747255,9750,3545,17236,9798,32346,15706,Tag0,unknown
1.56667E+12,0,-362,-7.95E-05,70,3,0,98347,16774693,222,3610,4759,3832,2182,4984,Tag0,unknown
1.56667E+12,0,50,1.10E-05,56,1,38,834307,82708,3158,2610,5356,11372,1944,2105,Tag0,unknown
1.56667E+12,0,-308,-6.77E-05,54,10,39,459129,32025,22941,32052,16984,28275,21212,6686,Tag0,unknown
1.56667E+12,0,8,1.76E-06,44,17,39,143426,63210,3842,28178,25630,17565,22247,11461,Tag0,unknown
1.56667E+12,0,26,5.71E-06,75,50,39,39230,16747886,12942,16749252,31030,28470,16053,5196,Tag0,unknown
1.56667E+12,0,74,1.63E-05,63,70,39,57626,16761716,1592,16692,8041,4709,5013,1252,Tag0,unknown
1.56667E+12,0,2,4.39E-07,69,54,39,57113,10049,1542,2045,2032,7098,4674,2203,Tag0,unknown
1.56667E+12,0,64,1.41E-05,93,54,39,31013,13410,2640,11177,21628,16745721,15858,4160,Tag0,unknown
1.56667E+12,0,-261,-5.73E-05,100,43,39,16776770,5205,11233,3509,27975,27272,22922,14109,Tag0,unknown
1.56667E+12,0,38,8.35E-06,100,27,39,445560,16748837,2545,3947,12712,27717,6956,3193,Tag0,unknown
1.56667E+12,0,83,1.82E-05,100,24,39,7651,13879,3969,7757,9165,16758043,14320,16859,Tag0,unknown
1.56667E+12,0,32,7.03E-06,100,35,39,43120,16749934,12532,31407,22959,16748494,10631,13005,Tag0,unknown
1.56667E+12,0,-107,-2.35E-05,100,34,39,5604,9910,8398,5842,16042,16748763,10395,5848,Tag0,unknown
1.56667E+12,0,-278,-6.11E-05,100,30,39,802522,76183,8413,1961,15335,16750868,16758390,11813,Tag0,unknown
1.56667E+12,0,41,9.01E-06,93,30,39,21402,20434,7125,3768,11377,16747718,15356,7640,Tag0,unknown
1.56667E+12,0,-99,-2.18E-05,100,21,39,143155,3142,916,2588,4521,9478,2046,6630,Tag0,unknown
1.56667E+12,0,18,3.96E-06,93,23,39,109444,16751556,13760,12337,26901,16745983,16746516,14986,Tag0,unknown
1.56667E+12,0,42,9.23E-06,70,20,39,74736,75299,3135,1708,5874,4261,7632,2173,Tag0,unknown
1.56667E+12,0,27,5.93E-06,47,47,39,574592,16745413,79056,76892,20367,22172,16763964,11986,Tag0,unknown
1.56667E+12,0,-372,-8.17E-05,24,61,39,16762411,16748567,29500,16761958,25182,23982,17789,5545,Tag0,unknown
1.56667E+12,0,84,1.85E-05,13,53,37,217817,129424,21475,23010,26890,16750007,16750224,11252,Tag0,unknown
1.56667E+12,0,82,1.80E-05,10,70,37,66221,16776155,14402,3074,4509,3621,5346,6048,Tag0,unknown
1.56667E+12,0,-298,-6.55E-05,30,54,37,10590,13698,15623,16524,10565,16748879,19697,15953,Tag0,unknown
1.56667E+12,0,-124,-2.72E-05,41,37,37,26062,16759906,12566,7778,18760,30618,26029,21097,Tag0,unknown
1.56667E+12,0,-285,-6.26E-05,54,37,37,67746,24736,9904,1420,26727,20493,21821,11489,Tag0,unknown
1.56667E+12,0,42,9.23E-06,87,20,37,431954,92955,2805,7962,31245,74459,13085,7269,Tag0,unknown
1.56667E+12,0,122,2.68E-05,94,8,37,22488,20086,9528,16797,19333,94850,14179,15907,Tag0,unknown
1.56667E+12,0,7,1.54E-06,91,7,40,423542,93509,3949,24862,25968,16748967,31503,17785,Tag0,unknown
1.56667E+12,0,67,1.47E-05,70,3,40,593025,84528,3627,8494,5728,8684,9204,5609,Tag0,unknown
1.56667E+12,0,113,2.48E-05,61,24,40,271060,16756526,16965,18382,24135,26288,28640,9617,Tag0,unknown
1.56667E+12,0,105,2.31E-05,38,40,37,737272,71067,80826,11652,25164,16752033,16751274,8940,Tag0,unknown
1.56667E+12,0,120,2.64E-05,51,50,37,344230,27890,28995,31460,29396,85097,16746433,16665,Tag0,unknown
1.56667E+12,0,8,1.76E-06,77,54,37,136273,16776213,9690,21669,23069,88196,19302,26758,Tag0,unknown
1.56667E+12,0,6,1.32E-06,60,40,37,113229,86965,5043,4606,9344,6630,6098,3417,Tag0,unknown
1.56667E+12,0,-121,-2.66E-05,69,35,37,112811,23811,22856,14497,16748189,31340,18263,21479,Tag0,unknown
1.56667E+12,0,36,7.91E-06,43,14,37,515250,229997,15138,12734,66254,27176,16751733,5147,Tag0,unknown
1.56667E+12,0,27,5.93E-06,37,17,37,105627,14802,7470,2737,12474,12257,8508,8146,Tag0,unknown
1.56667E+12,0,55,1.21E-05,61,38,37,34427,16744606,12745,16749009,10356,16769914,20548,8953,Tag0,unknown
1.56667E+12,0,19,4.17E-06,56,34,37,871124,69972,4561,24086,11354,16745026,66375,9265,Tag0,unknown
