timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1567594974144,25,90,1.9775390625E-5,0,0,45,11537,7742,2037,221,534,16777145,118,78,Tag0,unknown
1567594975145,25,-283,-6.218261718750001E-5,0,0,45,49643,31241,19067,18335,6721,6066,4627,5505,Tag0,unknown
1567594976155,0,56,1.23046875E-5,0,0,46,156792,54734,16749840,16748281,15054,16280,14029,11585,Tag0,unknown
1567594977184,0,-126,-2.7685546875E-5,0,0,46,24138,16746928,16769956,126691,28998,9530,10345,3079,Tag0,unknown
1567594978184,0,25,5.4931640625E-6,0,0,46,42073,28759,10430,77517,13772,10655,4774,8156,Tag0,unknown
1567594979185,0,85,1.86767578125E-5,50,44,46,16770926,29111,28430,16757605,3294,8660,3903,1394,Tag0,unknown
1567594980185,0,32,7.03125E-6,50,48,46,93028,16759708,16757647,29391,5316,6686,5460,4604,Tag0,unknown
1567594981186,0,35,7.6904296875E-6,69,51,46,7584,25000,7425,16772071,13460,12599,7949,6574,Tag0,unknown
1567594982186,0,-93,-2.04345703125E-5,80,48,46,107091,15239,5468,11434,6088,2443,2897,1214,Tag0,unknown
1567594983198,0,105,2.30712890625E-5,91,35,46,8748,32321,16446,18553,10239,19063,5736,2402,Tag0,unknown
1567594984206,0,99,2.1752929687500003E-5,94,43,46,8498,12222,26579,16748279,5356,6480,12148,2472,Tag0,unknown
1567594985214,0,108,2.3730468750000002E-5,80,44,46,90864,26814,16753190,67505,21245,12774,13344,2463,Tag0,unknown
1567594986219,0,93,2.04345703125E-5,66,53,46,66940,19210,17491,86627,16746240,6261,4771,1844,Tag0,unknown
1567594987226,0,40,8.7890625E-6,47,66,46,16763074,25016,5704,73285,10663,7821,10349,3107,Tag0,unknown
1567594988237,0,10,2.197265625E-6,47,57,46,16768681,31968,16758638,16765735,16746527,10906,3995,3138,Tag0,unknown
1567594989240,0,103,2.26318359375E-5,41,69,46,16747372,5929,16748412,66958,6032,7283,6481,4388,Tag0,unknown
1567594990248,0,-115,-2.52685546875E-5,61,53,46,16973,16748435,11945,6849,12359,8651,5431,1390,Tag0,unknown
1567594991254,0,-275,-6.04248046875E-5,56,56,46,225491,23552,97149,15389,10569,7605,4532,6706,Tag0,unknown
