timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1566668415416,0,-107,-2.35107421875E-5,61,57,43,16751890,16758609,3706,32067,14896,19575,9669,5725,Tag0,unknown
1566668416426,0,58,1.2744140625E-5,64,53,43,16746108,16746151,7938,14905,18204,21215,16747914,8224,Tag0,unknown
1566668417431,0,-128,-2.8125E-5,63,50,43,17515,19226,8750,15095,10286,18209,27244,6750,Tag0,unknown
1566668418438,0,35,7.6904296875E-6,74,44,43,37276,18167,5031,16729,28181,16745633,16455,15497,Tag0,unknown
1566668419445,0,-344,-7.558593750000001E-5,80,48,43,238748,14490,3770,16745280,15940,23240,13996,20728,Tag0,unknown
1566668420445,0,81,1.77978515625E-5,78,47,41,116728,16751034,16531,1055,8969,19562,8108,2099,Tag0,unknown
1566668421457,0,55,1.20849609375E-5,75,40,41,16774445,11052,403,4077,6730,3912,6573,1087,Tag0,unknown
1566668422466,0,53,1.1645507812500002E-5,63,27,41,403356,112062,6307,4716,12883,16751307,17311,9806,Tag0,unknown
1566668423474,0,40,8.7890625E-6,74,20,41,16750647,12917,6729,11754,11681,16769561,29594,15878,Tag0,unknown
1566668424480,0,12,2.63671875E-6,75,23,38,319566,16753968,28583,19818,14817,16747342,16751632,4431,Tag0,unknown
1566668425489,0,67,1.4721679687500002E-5,83,20,38,158469,20065,985,5009,2657,20161,3750,2470,Tag0,unknown
1566668426495,0,113,2.48291015625E-5,81,38,38,426109,81979,8807,84503,26663,26900,18838,5616,Tag0,unknown
1566668427503,0,43,9.448242187500001E-6,69,41,38,1161531,16763235,32176,6704,15312,16755149,15160,12798,Tag0,unknown
1566668428507,0,10,2.197265625E-6,81,34,38,22528,10466,4787,5690,13679,16745904,24151,14291,Tag0,unknown
1566668429515,0,107,2.35107421875E-5,69,29,38,298911,329064,17824,8881,7226,16767261,27700,11033,Tag0,unknown
1566668430521,0,5,1.0986328125E-6,74,13,38,104817,85620,2506,3770,4701,22680,21799,3461,Tag0,unknown
1566668431528,0,55,1.20849609375E-5,67,3,38,2878641,200107,9964,16904,14642,16762546,26800,7495,Tag0,unknown
1566668432535,0,18,3.955078125E-6,57,4,38,35109,19237,2274,4796,6736,12611,6163,1743,Tag0,unknown
1566668433542,0,39,8.5693359375E-6,57,20,36,133539,16748172,24535,12367,6458,12549,5690,2826,Tag0,unknown
1566668434549,0,-306,-6.723632812500001E-5,53,27,36,109820,16764729,7653,5348,2215,10273,4534,2993,Tag0,unknown
1566668435549,0,-273,-5.998535156250001E-5,53,43,36,16775518,12899,2314,19350,5047,7099,9650,3297,Tag0,unknown
1566668436563,0,4,8.7890625E-7,37,40,36,1829033,683899,16756247,16762765,10939,16760662,11701,6168,Tag0,unknown
1566668437570,0,71,1.56005859375E-5,35,30,36,384749,198845,11181,16746762,15418,28228,14455,11349,Tag0,unknown
1566668438578,0,-89,-1.95556640625E-5,56,29,36,21401,3967,8343,6613,18032,77864,19679,20140,Tag0,unknown
1566668439583,0,106,2.3291015625000003E-5,51,21,36,185820,16760113,12929,4688,14098,7748,10177,2480,Tag0,unknown
1566668440590,0,96,2.109375E-5,54,21,44,2425747,352289,16489,16745350,19284,16753338,28485,15661,Tag0,unknown
1566668441603,0,76,1.669921875E-5,67,23,44,101617,12084,8709,1873,6948,18607,10105,5477,Tag0,unknown
1566668442604,0,54,1.1865234375000001E-5,43,21,44,527390,47910,5500,9261,3124,17752,16512,6924,Tag0,unknown
1566668443610,0,121,2.6586914062500003E-5,44,13,44,179135,26157,431,2157,1056,4013,2170,491,Tag0,unknown
1566668444620,0,40,8.7890625E-6,43,17,44,202581,147188,28720,6422,6445,14820,11491,3504,Tag0,unknown
1566668445620,0,-289,-6.35009765625E-5,35,21,44,358155,97330,16766810,16103,6089,16757434,16767437,21555,Tag0,unknown
1566668446631,0,-322,-7.0751953125E-5,41,27,44,1043029,41866,20842,23744,8640,16759755,25163,14505,Tag0,unknown
1566668447637,0,-106,-2.3291015625000003E-5,48,27,38,74985,31927,216,3513,5739,14573,9392,6839,Tag0,unknown
1566668448644,0,120,2.63671875E-5,56,34,38,1804897,64938,28119,16761731,21715,16758276,89499,21146,Tag0,unknown
1566668449652,0,122,2.6806640625E-5,53,35,40,1060106,119400,94058,16758934,21779,16767053,22837,25870,Tag0,unknown
1566668450658,0,21,4.614257812500001E-6,50,41,40,2726399,314865,331753,16524,16753542,149832,16745712,30897,Tag0,unknown
1566668451667,0,-374,-8.2177734375E-5,43,47,39,1299451,349831,73744,20315,16978,69227,86799,19163,Tag0,unknown
1566668452674,0,-125,-2.74658203125E-5,54,43,39,1559356,15780,4211,6296,5261,27190,28585,5389,Tag0,unknown
1566668453682,0,-283,-6.218261718750001E-5,54,41,39,1700740,62955,21987,16752024,7427,32036,10219,4203,Tag0,unknown
1566668454687,0,122,2.6806640625E-5,54,34,40,611058,16772695,12945,2836,8848,19992,8553,2534,Tag0,unknown
1566668455704,0,68,1.4941406250000001E-5,64,37,40,921072,24230,19848,2723,11480,22909,6449,7422,Tag0,unknown
1566668456704,0,118,2.5927734375E-5,64,40,40,982254,10232,2394,8989,3316,20739,10790,2357,Tag0,unknown
1566668457708,0,44,9.66796875E-6,57,30,40,188006,480836,20067,16764715,16747277,16763649,16764370,11204,Tag0,unknown
1566668458715,0,-308,-6.767578125E-5,74,34,40,339940,30999,17171,19957,16323,62912,16776578,6965,Tag0,unknown
1566668459720,0,-322,-7.0751953125E-5,81,29,40,2463029,29562,4179,21092,18166,73475,28510,10952,Tag0,unknown
1566668460728,0,11,2.4169921875E-6,69,35,40,521561,140819,95531,28760,17008,66974,16753885,15714,Tag0,unknown
1566668461735,0,71,1.56005859375E-5,69,40,40,57976,16745406,4469,4765,2053,3431,5171,1677,Tag0,unknown
1566668462741,0,59,1.29638671875E-5,53,50,40,467172,31754,16754373,10728,11587,16608,6202,4264,Tag0,unknown
1566668463749,0,8,1.7578125E-6,38,51,39,170760,8787,1941,772,1135,1499,3614,491,Tag0,unknown
1566668464756,0,52,1.142578125E-5,41,47,39,2013040,33772,32431,21385,20197,16771903,29129,16769627,Tag0,unknown
1566668465768,0,-116,-2.548828125E-5,47,47,39,341217,23694,7304,1084,1171,5588,2910,1814,Tag0,unknown
1566668466769,0,71,1.56005859375E-5,37,21,42,1158478,938739,17367,13323,16752102,16762285,16764462,19703,Tag0,unknown
1566668467777,0,-260,-5.712890625E-5,35,26,37,113099,16776109,1748,16747976,11022,12446,13153,3663,Tag0,unknown
1566668468785,0,-330,-7.2509765625E-5,20,16,37,627408,330124,20852,3975,5546,17024,16668,2973,Tag0,unknown
1566668469791,0,60,1.318359375E-5,26,24,37,789347,14170,27053,8761,1771,20682,9192,11572,Tag0,unknown
1566668470797,0,-344,-7.558593750000001E-5,34,35,40,44852,191063,27440,3500,6305,16749713,13429,3548,Tag0,unknown
1566668471802,0,90,1.9775390625E-5,38,29,41,1592489,48199,22323,15224,5798,16746799,17355,5572,Tag0,unknown
1566668472811,0,-283,-6.218261718750001E-5,41,34,44,163448,130740,18017,8889,14193,19211,10012,3692,Tag0,unknown
1566668473818,0,57,1.2524414062500001E-5,34,34,42,1971537,194941,218206,40556,16754807,76948,62386,16744734,Tag0,unknown
